polarity	sentence
-1	Ruim de mais Cara esse jg e só pista reta e muito ruim  então n aconselho ninguém a jogar isso.
1	bom ele e muito bom
-1	Não da pra jogar direito Antes até era bom mas agora toda vez no meio do jogo ele da pau e fecha, não consigo jogar mais
1	Da pra passar o tempo.
1	Bacana Bom na hora do almoço :(
-1	Como esse povo jogo??tem pessoas que dissecomeçei a jogar e não parei mais '' . Como assim ,lixo isso um lixo o google aceitou ,um lixo perdi tempo .
1	T É muito fera
1	Muito bom Gostei muito.
1	Perfeito *.* Otimo Jogo, Super Que Recomendo.
1	Jonathan muito bom adorei o jogo o gráfico tom uoooooll
-1	eggs caramba demora muito
1	Legal Comprei na promoção e me surpreendi. O jogo nao tem grande objetivo, e enjoaria logo, mas a variedade das fases evitm isso. Jogo nada espetacular, mas muito divertido,
1	Bom, falta um modo online para melhorar
-1	Aparece comprado mais n efetua o download.
1	Ótimo jogo pena que da muito lag no meu xt300
-1	Não pega. Eu esperei uma hora pra baixar, e essa caralho não pega. Consertem essa porra!
-1	Orrivel Esse programa e um lixo
1	defino o jogo com uma so palavra FANTASTICO!!!
-1	Lucas -1ão Eu nai entendi nao consegii acelerar
1	Otimo jogo Otimo jogo depois que minha es1a viu esse jogo agora eu 1so ver meu futebol
1	Baixem o adobe victor hugo Baixem o adobe read e adobe flah play que roda perfeito no meu galax mini rodou perfeito
1	Viciante! Um excelente jogo gratuito.
1	Ótimo passatempo! Apesar da dificuldade em obter os resultados que dependem da sociabilidade, o jogo é bem divertido no geral.
1	É bem divertido  D
1	Excelente!!! Recomendo.
1	Show Otimo game melhor no genero de esporte pra android q ja joguei...
1	Crislaine Muito bom aplicativo...só um probleminha com a parte direita que é dificil de mover mas no mais é ótimo....
1	Mt bom! Nossa, mt bom, recomendo!
-1	Add cunha Uma merda,isso é roubalheira...
1	Bom jogo... Muito bom...
1	Ameei Aah eu começei hj e to gostando muuito 'o'
1	Divertidíssimo Muito bem desenvolvido e toda redondo no meu Galaxy X.
1	Maravilha Simplesmentes o melhor jogo, otima jogabilidade e grafico sencacional. Roda numa boa no me p698f, lg optimus net
1	Muito bom.. Nossa o melhor jogo q eu ja baixei: Mauricio de guadalupe pi
1	Show Eu gostei e recomendo. Podem jogar 2 pessoas ou uma contra a maquina e tem regras ajustáveis de acordo com o jogador. Excelente passa tempo. Lolitah
1	Sensacional Não tem como para de jogar :D
1	otimooo Amei o jogo muito divetido
1	Jogos Todos os jogos de sunbi são bom demais por isso eu do 5 estrela
1	Parabéns Ótimo ...
1	Galaxy S2 Ótimo jogo recomendo.
-1	Não gostei Ele não pega no meu celular samsung galaxy y
1	Excelente Otima jogabilidade, exelente para quwm tem tablet. Como eu!
1	Muito bom Cada tela e uma emoção diferente
1	Recomendo Muito bom vei,
1	Luciano Muito bom.
1	Excelente Mto bom!!!
1	Mtu bm Adoro esse jogo
1	Show Esse jogo é extremamente divertido e até desafiador rsrs é tão difícil as vezes, que eu nem reparo se ele segue mesmo o ritmo das minhas músicas só por isso eu não dei 5
1	O jogo e bom e e rapido para baixar
1	Muito Legal No começo eu achei q ia ser chato, mas aí comecei.a jogar e foi muito viciante
1	Incrivel Muito bom o jogo,recomendo...
1	Amei Instalei e nao paro de jogar ... São muitoosss níveis, muito legal e viciante! Ótimo passatempo.
-1	Horrível,  trava e ainda por cima desliga meu celular.
1	galaxy y sem duvida e o jogo mais legal e viciante do android!! amooo muitoo!! essa versao tem mais niveis e cada vez mais dificil e o sapinho cada vez mais fofo :))
1	Maravilhoso Eu baixei no meu tablet e adorei vcs tbm te q baixar!!!!
1	Muito bom Guilherme morais samsung galaxy YOUNG no meu galaxy rodou de boa recomendo
1	Gostei muito desse jogo
1	Motorola Defy Muito bom, eu sou viciada nisso agora
1	MARIA Muito bom
-1	Ruim Um cu jogabilidade pessima,ñ baixem
1	Divertido Divertido
-1	Ewerton Uma bosta, jogabilidade zero, orientação zero, não acredito que a Gameloft fez isso depois de Modern Combat, pq joguei dinheiro no lixo
1	Mt boooom Esse jogo e mt boom adorei jogar ele
1	Muito bon Seriooo muito massa eu recomendo
1	Muito divertido Vc pode passar horas e horas jogando
-1	RUIM, ESPERAVA MAIS! Simplesmente não rodou no celular!
1	Muito legal! Apesar dos gráficos repetitivos, este é um jogo que vale a pena ter.
1	blz adorei esse jogo
1	Vale sim!! Primeiro achei muito igual a Where's my Water, mas depois vi que tinha suas próprias características e era bem  divertido também.
1	5 estrelas Para quem ama esse jogo, só falamos o seguinte baixa logo. (:
1	Muito bom Graficos bonitos, leve, interativo e gratuito!
1	Danny Muito bom!agora ja sei como passa meu tempo me divertindo!
1	Adoro esse jogo muito bom ainda não joguei esse mas joguei o outro de skate.
1	Ana Galindo muito bom, vale a pena...
1	Bom Umdos maiz
1	ESSE  Aplicativo e o mais legal
-1	Incompativel. Por  que a google play não falo antes de eu baixar
-1	Melhora Melhora esse app porra . N da nem pra entrar nem sair de liga . Ver pontuacao no meio da rodada . Ta mto ruim . Melhora isso ae
-1	nao funciona nao quer pegar no meu galaxy ace
1	Muito bom, adicione para ter mais força de ataque! NJ6449
1	Divertidíssimo Ótimo, distrai por bastante tempo.muito legal.
1	Bom jogo Bom pra passar o tempo.
1	Muito bom o jogo ... Viciante Estou no pacote 12 level 33
1	\o/ Ótimo app pra quem gosta de sinuca!
-1	Antes era uma merda!!!!!!!!!!!!!!!!Com as atualizações melhoro um poco. Mas ainda é uma merda!!!!!!!!!!  :(
1	Muito bom o Jogo é leve, simples e eficiente.  Tem algumas melhorias que podem ser feitas para o jogo ficar mais interessante, mas merece 5 estrelas. Funcionou perfeitamente no meu LG Optimus L3
1	Ótimo. O melhor app de sinuca, eu e minha es1a perde horas e horas jogando.
1	BAIXEM!!! O jogo é muito bom, e realmente te prende.. Você não quer mais parar de jogar.
1	Galaxy tab p 1010 Muito bom mais se esse tab tivese o android 4.0 seria bem melhor
1	Moto Toop de maiss... Bom passa tempo
1	Muito legal Todo mundo que vê fica impressionado...
1	ASFK Caraaaamba *--* Eh mto mto bom esse jogo!!! Relembrar minha infância rsrs Recomendo pra todos  D
1	Adoooooooro Esse jogo é muito legal... To viciada... Kkkkkkk
1	5 estrelas Muito bom adorei finalmente um que funciona 100%
1	Legal Esse tipo de jogo já é conhecido mas o ratinho é novidade.gostei
-1	Ki merda A unica coisa q presta nesse app é o gameplay! Kkkkkkkkk
1	Ótimo Porem... Enjoa fácil :/
1	Mto firme Esse jogo e mto difícil mas tbm e mto irrado Recomendo q baixem e naum se arrenpenderam
1	Sde Bom
1	Angry Birds batendo recordes Esse jogo já vem fazendo história! Agora mais uma saga fenomenal com a ajuda da NASA veio pra arrasar!
1	Muito bom podia ter desafio on-line
-1	Não reinstala. Precisei desinstalar para liberar espaço e, ao tentar reinstalar, não faz o download dos arquivos adicionais de jeito nenhum. Frustrante.
1	Bom Bom de mais
-1	Demasiado difícil O drift dos carros torna o carro quase incontrolável. A dificuldade causada por isto torna a dificuldade demasiada e derrota o jogador. Pena, tinha potencial.
1	Muito bom :-) :-):-)
1	Amo esse jogo! Muito viciante! É o que eu procurava.Nota 10!
1	Muito fixe Ta muito bom, viciante!
1	sergio muito bom gostei muito.
1	Leeegal Poxa eu ameei esse jogo so que eu não sei como joga esse jogo on...
1	Muuuito bom Otimo e gostoso de jogar
1	Atualização perfeita A nova versão corrigiu tudo que estava faltando. Agora os sims moram juntos, tem filhos, da para cancelar as atividades... Finalmente é um the sims de verdade, parabéns!
1	Ótimo Simplesmente adorei ele conectar-se ao Facebook! :D
-1	Fica travando os jogos
1	!!! Bom d mais , recomendo
1	Jetpack Mt irado vei
1	Otimo! Muito bom jogo! Otimo passatempo!
1	Muito divertido. Lembra Mário.
-1	Porcaroa
-1	Lixo Lixo de jogo, prefiro nfs shift
1	Muito bom On-line melhor ainda
1	Gostei Um dos melhores jogos de corrida p/ celular que eu ja joguei Pelas imagens eu achava que seria chato mas eu me enganei
1	Muito bom! Funciona perfeitamente no HTC Magic.
-1	Bom... ... É o caralho. Uma merda d app
1	Muiiiitooooo bommmm Eu ja tinha o baixado mais ai ocorreu um estrago no meu genesis fasendo eu perder todos os meus jogos baixados e ai como o meu aeroporto e muito bom resolvi baixar de novo  bjuuu obrigado. Por ter enventado esse super mega jogo
1	Mimi gatinhA:-) Muito bom esse jogo vicia.Nao consigo ficar sem iogar.
1	Excelente Muito bom jogo.
1	Fantastico!! O jogo eh fascinante! Extremamente viciante!
1	V Muito bom e muito legal
1	Achei mt legal mais demora a baixado
-1	Não vale nada Não funciona e o meu celular aparece como compatível,não perca tempo comprando esse jogo!!!
-1	Ridiculo Pre historico.... Lembrei do Atari
1	Exlente Bom fassam o download
1	muito bom... excelente aplicativo, todos os amantes do poker irão gostar.
1	Máximo Máximo
1	Otimo Jogo Melhor jogo de tiro Pessoal eu recomendo!!!Esse é o melhor jogo de tiro que no android!!!Excelente!!!! Atrix
1	Very Good Sem duvida é  melhor no genero, testei outros e gostei deste.
1	Otimo app Nao costumo avaliar jogos, mas esse fui obrigada. Perfeito, sem nenhum bug, sem trancar. Maravilhoso
1	estadio Bom.So falta a opção estadio para a celular ....
1	Muito legal Gostei mto desse jogo pq com ele 1so ter um cavalo em casa e cuidar dele. Rsrs
-1	Não funciona no S3 Não funciona no s3...
1	Gostei! O jogo é muito bom! Os gráficos são fantásticos...
-1	Horrível Perdi 15 reais
1	Ótimo jogo, fácil de jogar
1	Muit bom Descarreguem
-1	Pouca fase, não compensa fazê o download
1	Ótimo Adorei esse jogo *_*
1	Fodastico Muito bom.... Jogadsso
-1	Trava muitoooo..ahh e aqui nao eh o caio...hehehehe
1	Exelente assim como o outro cut esse é exelente variedade de niveis e boa jogabilidade
1	Otimo Gooood... Gostaria de sabdr porque no meu jogo nao tenho o barco e to no level 19 =/
1	viciante ( no bom sentido)
-1	N gostei O jogo e muito confuso nem consegui jogar :(
1	O melhor Esse é o melhor jogo que eu já encontrei, e o melhor é de graça, viciante, eu recomendo....
1	Nota  1000 Não tinha encontrado jogos tão  viciantes  e gostosos como  esses . Nota  mil.
1	Jogo roda mto bem no x10 xperia
-1	trava direto...não vale a pena
1	Muito bom! Otimo jogo
1	Otimo Deveria ter as roms aqui no googleplay
1	Recomendo. E o melhor da categoria.
1	Bom Legalsinho
1	Mano Daora em pRa quem curte
-1	Lixo!!
1	100 palavras de+.
-1	Não Funciona!!! Fecha automaticamente no galaxy s2..Estou frustrado.
1	Excelente O jogo é super divertido,eu recomendo.  :-)
-1	Não funcionou no galaxi s O jogo parece ser ótimo, mas, aqui abre tudo normal, porém quando escolho a pista o jogo simplesmente fecha.  Galaxy s
1	Espetacular Como ja disse no titulo espetacular.Otima trilha sonora jogabilidade incomparavel em relacao a memoria q ocupa.E viciante a partir do momento em q vc aprende como se joga,so parei de jogar pra vim comentar.Mas tem um porem,no jogo tem um bug qndo vc e o inimigo se encontram ou seja andam e se encontram vc n leva dano.Mas so isso a melhorar.Parabens!!!
1	Amei Um joguinho em que vc tem q cuidar de uma batatinha muito fofa.
-1	Kkkkkk Piada esse projetil nde game, se eh que pode ser elogiado a tanto assim rsrs.
1	ótimo é um ótimo RPG com uma historia legal, só uma coisa que na minha opinião foi o ponto -1ativo é que quando se derrota o último BOSS que você é enviado de volta no tempo, entra em hardmode e os monstros normais ficam com o mesmo level do personagem, resultado: acabou as poções,todas os equipamentos quebraram, fiquei sem dinheiro e ainda por cima nao consigo ganhar experiencia sem que morra pelo menos umas 5 vezes. a unica maneira que encontrei de ganhar level é fugindo dos monstros e usando os clones para atacar.
-1	Inferno Atualizar tem baixar data jogo inteiro 1.66gb,  gameloft vocês são uns FDP.
1	Recomendo Excelente jogo
1	Muito bom!!! Pura diversão, pena q as músicas se repitam demais.
-1	Burro Na mao de 11 o parceiro.  é muito buurro pede truco com o jogo perdido
-1	Esse jogo e ruim nao baixem
-1	Nao pega no HTC desire A
-1	Um lixo, nao ta instalando
-1	Comentário Fraco. Sem efeitos e sem nenhum som. Podia ter opcionalmente
1	Legal Muito bom!!!
-1	Lixo Nao vale apena
1	Jogadora Jogo é otimo,tem varios níveis de jogo e vc vai querendo jogar mais e mais
1	O melhor Este jogo é perfeito
1	Bom Roda bem no meu GALAXY S II
1	Futi Eo melhor fotebol
1	Ja joguei no kinect é mto massa! no kinect e bem mais facil pq pode usar as maos e pés
1	Muúüúúüito bom Muito bom! Viciante!
1	Excelente Esse jogo é ótimo
1	Meu aeroporto Show de bola o jogo .... para Galay Tab funfa mto bem !!!!!! Cinco estrelinhas fácil ....
1	Excelente Até gostei muito do jogo, é muito divertido
-1	Bosta de GTA Num pego no meu Galaxy essa bosta de jogo vou entrar en contacto com o suporte do play store e vou entrar na justiça e já instalei e desinstalei 3 vezes,pero meu dinheiro de volta jaaaaaaaa!!!!!!!!!
1	Galaxy s2 lite Muito maneiro!!!
1	Divertido, bom pra relaxar.
1	Muito massa Esse jogo e muito massa meu Record no Plus e de 76822
1	Nossa! Me surpreendi Pensei que ia ser aquele jogo bobinho mais to super viciado kk vale apena... Nao trava ou fica lento em nenhu cel :)
-1	Travou!!!! Me ajudem Gente, perdi o jogo todo!! Quando clico no jogo pra abrir não passa da parte laranja, me ajudem!!! Não quero desisntalar!!! Faço o que??? Queria continuar de onde estava!!!!
1	Muito bom Jogo bem divertido. Pena que a versão free tenha poucos níveis.
1	dhi muito foda esse jogo gostei pra caramba recomendo
1	Viciante! Poderia ter menos propagandas e uma melhor resolução.
1	Vale a pena esperar Otimo jogo bem parecido com o 2012 so e um pouco dificil pra marcar os jogadores mas e otimo...vale a pena esperar o download
-1	Ruin.... Pesado e fica muitas propagandas em seu display....
1	Muito bom Viciante!!!!!
-1	Bugado! Tem que baixar um arquivo de horas pra funcionar, é tão grande que eu já desisti!
1	Até que é interessante Parece os jogos de convivência do face
-1	Odiei o jogo,  o grafico muito ruim,  e a jogabilidade tambem nao e boa.
-1	Não gostei
1	Bacana Demais O.ruim q.ele.nao.eh free cmo diz mas dependendo de qnt for.para liberar tudo vale a pena.
1	Dimais Esse jogo vale muito apena instalar mais subway surfers é melhor mais temple run também é nota 10,0
1	Muito bom Sincerament gostei muito
1	Muito bom mesmo . 5*
1	muito massa muito legal este game gostei bastante e é mega viciante
1	Demais Maneiro
-1	ruim muito comum   :/
1	Mafrana Muito bom.....
1	Da hora! Gostei bastante.
1	Galaxy SII De boa.. Mais um game maneiro pra passar o tempo jogando pra quem tem 16 f gigas de interna e 900  megas para apps.. Isso eh so mais um brinquedinho.. Adoro me gabar né kkkkkk
1	Elisangela Eu amei é vicio puro mt zica gente é coisa de doido!!!:)
1	Muito bom recomendo a todo para bens
1	Joclesantos Eu gosto deste jogo
-1	Nao e compativel Dia 08 eu fiz o download mais hoje nao e mais compativel
1	Faltam coisas Aew, a única coisa que faltava, se desse daria 100 estrelas. agora tem minhas cinco.
-1	Vcs são muitos ruim,eu comprei e não abre essa m.....
1	Muito bom Pra mim já é um clássico!
1	Amei esse jogo,ha se esse ja e legal imagina o de cupcake!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
1	Muito Bom Está entre os melhores jogos de guerra gratuito, se não for o melhor(gratuito).
1	Viciante Lembra a infância... Tamagochi... Muito fofo tem que cuidar, brincar, adorei!
-1	Nexus 7 Controlo horriveis,  apenas tem 2 1ições, esquerda e direita...  E em frente?  Nao recomendo
1	muito bom*-*
1	Xperia Neo Muito bom mesmo...
1	Maiara Esse app é otimooooooo!!! Podem baixar,vcs não vão se arrepender. \0/ \0/
-1	Nao carrega, aparece um pouquinho depois some, queria jogarr
1	Da  hora.... .....zica mesmo esse jogo...
1	Jogo bem interessante Foge um pouco dos temas atuais, com um conceito novo, jogo muito inteligente
1	Galaxy ice Jogo bem.legal.para passar o tempo podem baixar muito bom msm
1	Deborah Caraca muito bom,lembrei de quando era crianca que jogava nossa era um maximo rodou super bem no galaxy SII
1	Mto bom passatempo
1	minha mãe acabou de dar risada -)
-1	Difícil Não gostei, muito difícil de controlar e gráfico ruim
1	Bem legal É um jogo bem divertido recomendo                                                  '-'
1	Bonsin É legau de joga com duas pessoas ,,
1	Otimo Esse jogo é otimo  Recomendo
1	Um dos melhores jogos (:
1	Muito bom... Otimo jogo
-1	lixo nao baixem
-1	, uma porcaria, mt chato! so dois botoes no touch screnn, um de pula e otro de atira, sem nenhum graca mannn ee trava mtmt no xt300
1	muito bom, mas.. realmente muito bom, recomendo eu não consegui jogar, o carro ia se batendo na parede.. só faltou mais facilidade de controle
1	Show... Meu filho de 4 anos adora.... E eu tiro onda com meus amigos...
1	Legal Adoro esse jogo . Amo mesmo de coracao . Me dedico a esse jogo. Deicha eu baixai ai vai eu voou chorar
1	Muito bom e divertido Muito bom e divertido
1	Perfeito Otimo jogo recomendo pra quem quer passar o tempo
1	Incrivel Muita criatividade para se passar de niveis,lembra um pouco banjo kazooie
1	Perfeito! Jogo muito massa. Realmente um show. Roda super liso, os comandos sao otimos. Valeu cada centavo!!!
-1	Mto bm É mto bm mas n da d baixar o q faço?
1	Legal. Muito legal, amei e os joguinhos que vem junto é viciante rsrs
-1	Trava no XOOM Não dá para tirar licensa no modo arcade, simplesmente o jogo fecha sozinho, sem licensa o jogo não tem a minima graça... Motorola XOOM
1	Muito bom 10!
1	Muito bom e viciante Viciante, mas acabei de zerar os níveis e ficarei no aguardo de novos nas atualizações.
1	Gostei morri de rir com a minha mãe
1	Henrique mineiro Gosto muito lembro do super nes...
1	Bom Nuus..mto bom!!
1	Bacana Da pra jogar por horas
1	Mto bom! Jogo grátis, muito bom, mas como todos os outros, chega uma hora que é necessário comprar créditos para adquirir itens!
1	Fantástico Sou fã da série e curti mt o jogo no xoom! Jogabilidade ótima. Melhor jogo até agora!
-1	Horrível Esse -1ocio conseguiu travar meu celular,por isso desinstalei e dei uma estrela
-1	Lixo, trava toda hora
1	Galaxy s3 Melhor que pes e Fifa
-1	Parou de funcionar O jogo rodava legal no meu Arc S, após a atualização ele parou de funcionar. Já desinstalei e instalei novamente duas vezes, mesmo assim não deu em nada. Por favor desenvolvedores, dêem um jeito, o game é muito bom, mal deu para jogar.
1	Muito maneiro!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
1	Melhor jogo de xadrez ate agora. Tem dez niveis de dificuldade e estatisticas interessantes.
1	Melhor de todos Melhor jogo de corrida que ja vine jogeinrodounperfeitamente no meuntablet
-1	Unico erro O unico bug que encontrei foi qd usamos dois dedos ao mesmo tempo para movermos nos no mapa bloqueia e so forcando paragem para sair do jogo. E uma pena.
1	Jogo perfeito!! Adorei! Otimos graficos, som realista...
-1	Ruim Jogo zuado
1	Muito bom. Me add 9G7XF8
1	Fantástico A cada actualização que faz fica cada vez melhor. Um dos melhores jogos de Solitário do Market.
1	Bem legal Bom jogo, porém precisa ser muito letrado ou muito consumista pra saber tudo.
1	Muito Bom! Já conhecia o jogo mas nunca tinha jogado... Está de parabéns!!!
1	Bom Jogo bem bacana,muito viciante.
1	Próximo muito massa hehe
-1	Lia O app é bom se não ocupasse mt memória seria melhor .. Por isso que não dei cinco estrelas
1	Top Nao consigo parar de jogar rsrs show
1	Foda demais Muito muito muito muito bom Tb
1	Ótimo Jogo gráfico perfeito Melhor Game de corrida que vi Gameloft sempre a frente
-1	Lixo Tem muito jogo melhor que esse...
1	Muito bom Vale a pena!!!
1	Incrivel Aproveita a promo dos 0,51 mais 6% de im1tos qe vale muito a pena, jogo incrível gráficos e estilo muito bem pensado
1	E muito bom! Eu recomendo.
-1	Nao consigo baixar! Deve estar com defeito..
1	Mata coelhos Jogo muito legal. Recomendo.
1	Leon Conheci o jogo pelo Leon (youtuber) e gostei muito!
1	Mah Éé , bonzinho u-u bando de lindoos haha
-1	Xperia neo Depois da atualização para o Android 4.0 , os controles não funcionam, ficaram loucos!!
1	Galaxy s3 É muito bom. Principalmente porque cada vez mais vai ficando difícil
-1	Galaxy y Tv Naoo pega essa merda trava no inicio do jogo
-1	Q merda Lixo
1	Excelente Muito bom e viciante..  RECOMENDO
1	Paulo Muitíssimo. Bom demais!!!!!!
-1	CHEIO DE DEFEITOS Tenho o Motorola XOOM Z605.... roda tudo nele... mas após comprar o jogo me sinto enganado pois o jogo    TRAVA TODA HORA, o cenário some, o acelerômetro não calibra, tenho que reiniciar o jogo e perco todo o progresso.....  Engraçado que jogos mais pesados (GTA III, NOVA, etc) rodam sem travar... na boa...  Se fosse bem feito o jogo valeria mais que 2 reais, mas nessas condições nem 2 reais vale, FRUSTRANTE!   Alguem sabe algum contato da Gameloft para suporte?
1	Otimo jogo Gosto muito do jogo mas com as atualizaçoes aparecem propagandas muita chatas que atrapalham.Fora isso o jogo é otimo, recomendo.
1	Viciante! Roda perfeitamente no Galaxy S.
1	jogo bom, desafiante e viciante
1	Sensacional O espantoso efeito da simplicidade eficiente. Parabéns aos irmãos que desenvolveram o app. Coloquem um app para doações que é merecido.
1	grande app Muito bom...
1	Esselemte jogo é muínto bom mesmo
-1	Nao consigui jogar Na hora de verificar atualizações ele diz q nao tou com a conexao ligada  Embosa esta sim
1	Bom O melhor jogo de tiro para android
1	Bom Demora muito pra carregar. Mas é um ótimo passatempo.
1	o melhor air hockey Revomendo
1	Excelente Ótimo para os amantes da música
1	Da pro gasto...
1	Interessante! Gostei do jogo, principalmente da excepcional combinação de sua dinâmica inovadora de jogo, efeitos sonoros e música base. O que poderia melhorar: o processo de evolução poderia ser continuado entre as fases.
1	Tudo de bom Melhor que já joguei.
1	Rapha Muito bom...
1	Impressionante A Rovio está sempre inovando, estou louco por mais fases. Aguardando  atualizações )
-1	Pessimo Vai uma estrela so pq o game eh leve...nao tem nada d interessante nesse jogo, nao tem muita sensibilidade para desvir quando se inclina o celular...poderia ser bem melhor
-1	Te ferra E oriveu
-1	N consigo ver os coelhod ou a paisagrm so vejo o arco
1	Muito bom Gráficos e som caprichados, e os quebra cabeças não são muito fáceis
1	. muito bom !!!
1	Muito bom Muito bom esse jogo, e viciante
1	Adoro esse joogo,pena q no motorola defy trava
1	Bom Gostei poderia só ter mais ilhas p jogar
1	Matheus Muito bom esse jogo quem estalar ñ vai se arrepender parabens para o criador do jogo
1	O melhor Esse é o melhor jogo de corts muito bom mesmo pode baixa que vale a pena
-1	Cuidado ao baixar este jogo ele tem virus!!
-1	Esse jogo é uma droga,demora pra carregar e instalar!!!!!
1	Dudazinhaaz Adorei e mt demaaaaais !!!' So q o meuu tbm travo' / Mas gostei assim mesmo  :)))
1	Mmaravilha Ótimo d ++++
1	Bom. Gostei mas acho o rio o melhor angry ate agora
1	Bom Problema e que nomes dos jogadores estao errado
1	Galaxy S Adorei, ótimo passa tempo!!!
1	Muito bom O melhor jogo do meu celular
1	Viciante e muito bom... Este jogo é demais!!
1	Muuuito booom Jogo bom de maaaais,só acho que poderia ter mais fases,assim ngm enjoa de jogar as que ja tem...   D
1	Bom Bommmmm oS carambA gostei mt
1	Muito legal esse jogo eu joguei no celular do meu amigo o grafico é perfeito muito legal Muito loco
1	Muito legal E massa, muito legal mesmo!
1	FODA o melhor jogo de poker online de android
1	Ana Maneiro
1	Muito legal É bem bolado,  e ele n fica pausado quando vc sai dele,  show!
1	Muito bom E muito bacana me divirto muito obrigada
1	Gaabi Com Certeza esse é o melhor jogo de celular!!
1	Mtbom Otimo passa tempo. Alem de estimular nossa mente nneh
1	Gama Muito bom o jogo excelente game vale 5 estrelas
1	Bem legal Diversão rápida
-1	Xperia play Nao roda 100%, e o sistema de compra e' muito pior q o dead trigger, querem q passe o dia jogando e ainda tem bugs. Vergonhoso, agora nao abre o jogo, quando abre trava o celular. Ridiculo.
1	Maneiraço adorei pq as crianca se diverte matando fomiga kkkkk
1	Ai e muito bom
1	Show d+ Eh isso aí , simples e atrativo , muito bom !!!!!
1	Ótimo Muito viciante (: ótimo jogo para passar o tempo e ajudar a treinar as suas habilidades
-1	Nao presta É uma merda este jogo
1	Vale 1 dolar com certeza
1	Muito bom Muito foda, as pessoas so deviam dar cometarios depois de baixar.
1	. Muito bom.. Adoro  jogar
-1	Perdi tudo Estava super bem com o jogo quando, sem explicação alguma meu personagem foi resetado, brimcadeira vio gameloft, vcs tem que corrigir isso..
1	Legal Jogo muito bom adorei !
1	u.u :p esse e o melhor jogo do android muito bom , recomendo
1	muito bom!!! o jogo realmente te prende...
1	BOM D ++++++++++ O MELHOR DA CATEGORIA
1	E o melhor jogo de todos E muito loco !!!...
1	Recomendo Excelente... super viciante!
-1	Nossa Naum aconselho,naum sou de comentar mais que joginho besta n baixem
1	Adoro Muito viciante e muito bom kkk
-1	Err:510
-1	Ruim O jogo é horrivel
-1	É uma pena No meu samsung galax tab roda jogos com gráficos 1000x melhor e esse fica saindo logo na segunda fase, por favor arruma esse pequeno problema, pois esse jogo parecia ser legal.
1	Legalll Não consigo parar de jogar....
1	otimo Eu adorei!
1	  ) O jogo e bem legal e viciante eu recomendo
1	o melhor jogo muito bom na minha opinião o melhor jogo para android de todos os tem1 em um dia eu ja viciei nesse jogo
1	Parabéns. E muito divertido e viciante. agora com essa promoção  do McDonalds, ganhei uma lhama e mais dois prêmios, ao nomear minha vila como McDonalds. Não da pra parar de jogar. Agora voces precisando melhorar. Quando eu saio do jogo ele não esta salvando as últimas ações, tenho perdido muitas nozes, moedas, etc.. Melhorem também, o preço de alguns animais,e o jogo do scrat sempre ganho o mesmo prêmio. Mesmo assim vcs estão de parabéns, e o melhor jogo de todos.
-1	não gostei mt anuncio
