polarity	sentence
1	Local bonito e agradável, localizado dentro do shopping Manauara.
-1	O atendimento deixou um pouco a desejar porque tinha garçons que não sabiam quais os chopes disponíveis na casa e chegamos a ficar 15 min esperando uma rodada com um monte de garçom ocioso.
1	Apesar de não terem matrinxã assado, o qual queria jantar, o tambaqui estava saboroso e a farofa branca com ovo estava muito bom.
1	além da variedade de bebidas e um chopp bem geladinho.
1	O local é lindo , a comida é ótima (sem falar na batida de coco!!)
1	, música ao vivo e o atendimento perfeito do garçom Bruno .
-1	É horrivel, o atendimento vai de mal a pior só depende do astral dos funcionários, além disso para "mundo" de alguma coisa essa  casa passa muito longe!
1	é um lugar agradável por estar no Largo, no entanto poderia ser um ótimo lugar se mudasse a administração, seria realmente um lugar interessante de se conhecer!
1	para jantar recomendo, pratos diferenciados, não tradicionais, ou melhor tradicionais modificados, o chefe tem um menu muito gostoso.
1	o lugar é agradável, pequeno, parece com o japao realmente.
1	Grande bufê  que inclui além de pratos quentes, sushis e saladas que servem de acompanhamento para os variados tipos de carne que é servido.
1	O atendimento é muito bom; a comida, saborosa; o chopp está sempre na temperatura certa!
1	Embora seja um restaurante recém inaugurado o atendimento é ótimo.
1	A comida é muito boa.
1	Com cardápio variado.
1	Boa carta de vinhos.
1	E o preço não é abusivo.
1	Um bom atendimento, a comida estava deliciosa, tudo na medida certa, a localização do restaurante é ótima, o saber de comidas regionais pe o que mais surpreende, voltarei outras vezes com certeza !!!!
1	A comida é extremamente saborosa e os pratos são bem servidos.
1	Lanchonete com variedade em lanches e sucos, um bom atendimento e está em uma boa localização da cidade.
1	Excelente atendimento agilade rapidez desdo garçom a gerência chopp gelado ambiente agradável parabéns...Voltaremos quando estivermos em Curitiba.
1	O ambiente é bem amplo, iluminado.
1	Atendimento muito cordial dos funcionários.
-1	Caro demais.
1	O cardápio é outra falácia, pois pedimos uns 4 itens que não estavam disponíveis.
-1	Boteco bem simples com preço de Bistrô.
1	Um bom lugar para estar com a família e/ou amigos, incluindo crianças.
1	Restaurante muito aconchegante e com bom atendimento.
1	A cozinheira veio até à nossa mesa e se colocou à disposição para confirmar o bom atendimento.
1	Preço bom e comida muito boa.
1	Os sushis são diferentes, frescos e incríveis.
1	Primeiro que o serviço é excelente e o cardápio, apesar de pequeno, contempla todos os gostos.
1	Comi gnui e estava maravilhoso.
1	A sobremesa estava excelente.
1	Almoço caseiro muito bom, três opções de carne, muita variedade de saladas, três frutas, um bufê de sobremesas incrivel, com bolos e tortas doces e dois sucos naturais, o melhor é o preço, R$18,90 a vontade!!!
1	Ambiente rústico que traz o apelo artesanal.
1	O cardápio conta com pizzas de sabores diferenciados, bebidas interessantes e preços compatíveis.
1	A fabricação é visível aos clientes e o atendimento é bom.
1	Bem localizado na Av.
-1	Fui com amigos comemorar um aniversário, por fora o prédio é bem velho e feio.
1	As estradas foram boas mas o como prato principal pedi um bacalhau para dois e não achei grande coisa, estava bom mas um pouco ressecado.
-1	De sobremesa pedi um sorvete  que vem com dois tipos de mousses, porção bem pequena.
1	Estive almoço de Natal do Fogo de Chão Danto Amaro e o atendimento foi excepcional.
1	É tipo um boteco sofisticado.
1	O espaço é apertado , mas o serviço é bom e os aperitivos são de qualidade , muito bons.
1	Muito bem localizado em frente à praia de Meirelles, pouco depois da popular "feirinha", com excelente atendimento e ambiente muito agradável.
1	O restaurante Coco Bambu de Fortaleza/CE é excelente, com dezenas de opções de pratos, variando entre peixes, frangos e carnes vermelhas.
1	O atendimento é extremamente agradável, com garçons muito solícitos e simpáticos.
1	Restaurante com atendimento cordial, preço na média da região e boa variedade de pratos e sobremesas.
1	Local muito bom , na Passarela do Caranguejo.
1	Com excelente comida e música ao vivo.
1	Destaque para a decoração que achei incrível .
1	ótimo atendimento.
1	A melhor cerveja artesanal de Belém, fica na Cervejaria Amazon Beer, localizada na Estação das Docas, próximo ao ver-o-peso, um dos ambientes mais indicados para os turistas, além, de poder ver o por-do-sol a beira da baia do guajará.
1	As pizzas da Forneria são ótimas!!
1	Massa deliciosa, ingredientes de qualidade.
1	O atendimento é muito bom e o preço bem justo.
1	Atendimento muito bom, o bacalhau esplêndido.
-1	O único defeito é o espaço que é pequeno.
1	Os pratos quentes do restaurantes são deliciosos.
1	O kilo perto dos R $ 75,00 torna o almoço de rotina muito caro , permitindo o cálculo e trazendo o almoço no Mangai pra uma realidade possível , quanto ao sabor ... muito bom !
1	Comida perfeita, atendimento do garçom Wemerson nota 10, música agradável, ambiente agradável
1	Bebida sempre gelada , pessoas bonitas  e simpáticas , lugar perfeito para fazer amizades e passar a noite toda bebendo e comendo!
1	Atendimento top, Wemerson garçom com um atendimento impecável, chopp gelado e comida de primeira.
1	Muito bom!!!
1	A comida do restaurante é maravilhosa, com boa variedade de pratos e vinhos, o ambiente também é fenomenal.
-1	Porém o atendimento deixa muito a desejar, a entrada demorou muito mais que o prato principal, acredito que esqueceram de encaminhar o pedido, a coca-cola que pedimos não veio, tivemos que pedir a outro garçom.
-1	E os preços são um pouco caro, nada exorbitante, mas R$ 16,50 numa entrada simples de apenas 06 torradas de brusqueta e R$ 51,00 num prato de macarrão simples com molho vermelho é um pouco defasado da realidade.
1	comida muito boa e de alto nível, lugar super agradável e atendimento de primeira.
1	Comidas típicas do Nordeste, decoração rústica é bem aconchegante com atendimento ótimo e estacionamento privativo.
-1	Lugar pequeno e no ápice do sucesso, então é normal que tenha fila.
1	Achei a gestão da fila atenciosa e amigável.
1	O lugar é descontraído e a proposta particular e bem cuidada nos detalhes.
1	Os garçons são muito educados e atenciosos.
1	O ambiente é interessante.
1	Ambiente familiar.
1	Os pratos são extraordinários, atendimento cortês e a Carla Pernambuco passa de mesa em mesa cumprimentando os clientes.
1	Uma opção excelente, os hambúrgueres são muito gostosos, a maionese artesanal é espetacular, as batatas bem crocantes, o atendimento é sempre bom.
1	O melhor fondue que já comi!!!!
1	Tudo com muita qualidade e atendimento ideal.
-1	Única coisa chata é a espera.
1	Mantiveram tudo igual: buffet de saladas incrivel e as carnes chegando a mesa no estilo rodízio.
-1	Preços bem salgados por sinal.
1	Local linda, com mesas ao ar livre e super arborizado, tem um cantinho pra crianças com alguns brinquedos e lápis pra desenhar.
1	Vale a visita em um dia ensolarado, local muito aconchegante.
1	Comida maravilhosa, preco justo....
1	Bar do Adão é tradicional dos cariocas!
1	Fomos comemorar meu aniversário no Coco Bambu e tivemos um excelente atendimento - garçom Carlos , além da comida que estava deliciosa e bebidas perfeitas.
1	Comida boa e com um diferencial no sabor.
1	Lanches de qualidade e com inovação, bom para um final de tarde entre amigos
1	Outback é uma otima opção para comer e beber com qualidade, fica situado no shopping Center Norte com facil acesso, muito bom para almoço em familia, amigos e ate mesmo um almoço de negócio informal, recomendo como pedido a costelinha de porco, simplesmente perfeito.
1	Sem duvida o menezes Grill é o melhor espetinho de carne que existe no bairro da Cidade Velha é bem servidor e delicioso.
-1	Achei muito caro por aquilo que serve.
1	Primeira vez que fui ao Mamma Jamma e tive uma boa experiência.
1	Preço é justo: Pedi de entrada um pão com calabresa, com queijo gratinado (muito bom, por sinal) e uma pizza grande para dividir por 2 pessoas + bebidas, e deu um pouco menos de 60 reais para cada.
1	Atendimento e comida excelente como sempre!
1	Restaurante dentro do Copacabana Palace....atendimento impecável, comida muito boa  e ambiente bom...
1	Restaurante nota 10, da recepção no estacionamento, atendimento, menu, visual, conforto e comida deliciosa.
1	O preço compatível com a qualidade, menos de R$ 100 por pessoa com entrada, bebidas, pratos e sobremesa.
1	Amplo estacionamento, serviço de primeira, uma das melhores opções de João Pessoa.
1	Ó restaurante não é muito grande, mas o serviço é muito bom e os pratos fartos.
1	Pedi de entrada casquinhas de siri e iscas de lagosta crocante, tudo muito fresco.
1	De prato principal delícias do mar com cherne e lagosta e a qualidade se manteve e para finalizar carpaccio de banana, muito bom.
1	O atendimento foi excelente e cada garçom que nos atendeu nos deram todas as informações e sugestões para que tivéssemos uma noite agradabilíssima.
1	O lugar é bonito e divertido,  feito para turistas, já que só funciona às segundas.
-1	Chegando lá, encontramos um local muito pequeno e lotado, porém fomos informados que poderíamos comprar no delivery, do outro lado da rua, enquanto aguardávamos a mesa.
1	O lamen é barato (um missô lamen e chashu tonkotsu lamen ficaram R$20 cada).
1	O atendimento foi bom, ao contrário do que as pessoas normalmente dizem.
1	Fomos conhecer a Cervejaria Amazon Beer no final da tarde e pedi bolinhos de queijo com carne seca e são maravilhosos.
1	Comida muito boa, ambiente muito descontraído, ótimo para confraternizar com amigos.
1	Atendimento muito rápido.O único defeito é que quase sempre tem que enfrentar  uma fila de espera para entrar.
1	Apesar disso, como sempre, a comida estava ótima e sempre de ótima qualidade para agradar seus clientes
1	Foi bacana, opções de bebidas e comida boas, bom atendimento, ambiente agradável.
1	Mas a comida... como sempre, maravilhosa!!!
1	Rodízio muito bom!
1	O atendimento é rápido e eficiente!
1	Shimeji quentinho e os sushis e sashimis frescos!
1	Ambiente agradavel,pratos bem servidos e sobremesas variadas.Espaço para crianças brincarem.
1	Estacionamento amplo com manobrista pago.
1	atendimento mto bom.
1	comida mto bem preparada.
-1	mas deve se dizer que por ser feita para atender o grande publico, o ambiente se torna menos confortável, pois o barulho eh mto grande.
1	O restaurante possui diversas opções de pratos, todas de qualidade excelente, sendo esse o seu ponto.
1	Ótimo atendimento do garçom Roberval Viana e uma comida excelente tbm!!!
1	Lugar agradável embora quando cheio alguns lugares ficam inviáveis por colocarem as mesas muito próximas, tem-se a impressão de invasão  de privacidade.
1	Buffet de frios variados e bons.
1	Pizza massa fina, bem servida de ingredientes .
1	Atendimento eficiente, local com ar condicionado.
1	Padaria localizada ao lado do Hotel Ibis Budget da Frei Caneca que faz boa comida por preço justo.
1	Os salgados são muito bons, especialmente os croissants.
1	boa opção no centro da cidade.boa oferta de comida,preco e atendimento,limpeza tambem boa,recomendo.
1	Tudo com qualidade.
1	Bom atendimento.
1	Ambiente muito aconchegante.
1	Uma grande variedade de frutas.
1	Preço justo.
1	Não é barato, mas o serviço foi bom, a pizza veio super rápido, o menu é ótimo (várias opções de pizza e você pode optar por dividir a sua pizza em em até 3 sabores diferentes) e o ambiente é agradável.
1	Bem localizado.
1	Melhor pizza da cidade em termos de massa fina, preço um pouco salgado.
1	Tem o melhor petit gateu da ilha.
1	Muito bom!!
1	Atendimento excelente do Michael!!
1	Comida deliciosa e ambiente agradável!
1	Caipirinha deliciosa!
1	Comprar chocolates na cacau show é uma boa saída para quem quer fugir dos chocolates mais tradicionais e quer experimentar novos e deliciosos sabores de chocolates.
1	Excelente atendimento.
1	Comida muito bom, muito bem temperada.
1	Preço justo.
1	Excelente custo-benefício.
1	Ambiente agradável, garçons educados, comida gostosa, mas... as porções dos pratos kids são muito, muito, muito pequenas.
1	Atendimento de primeira, ambiente super legal.
1	As opções com camarão são as melhores mas os de peixes também são uma delícia.
1	O preço é razoável até.
-1	Chope bemtirado, comida questionável, o joelho de porco é bem feito, porém a salada de batatas veio azeda e o chucrute bem antigo.
-1	As salsichas de qualidade duvidosa.
1	O preço para o Rio é compatível .
1	Ambiente acolhedor, bebidas self-service, rock dos melhores (clássicos e atuais) e atendimento maravilhoso.
1	Esse restaurante é muito agradável, um excelente atendimento uma vista pro mar de abrilhantar os olhos e com uma refeição divina, nesse final de ano ele estarão fazendo um pacote muito bom pra quem gosta de celebrar a virada do ano de frente pro mar.
1	Local agradável, amplo, cardápio variado e bom atendimento.
1	Além de variados e deliciosos acaís, servem outras opções de lanches que equivalem à refeição e sucos muito gostosos.
1	sushi di boa qualidade e otimo tempura de legumes e camarao, tambem tem sobremesa incluida no valor do rodizio
1	A pizzaria é um charme.
1	O ambiente é ótimo para um encontro romântico ou para comer uma pizza com os amigos.
1	O atendimento é bom, rápido e eficiente.
-1	Os preços não são baratos entretanto não chegam a ser astronômicos.
1	Ambiente bem cuidado, atendimento excelente.
1	Tudo bem caprichado.
-1	Preço caprichado também.
1	No Executivo Grill você tem um ambiente descontraído, com diversas opções de saladas, pratos quentes, carnes, feijoada, a comida é gostosa, o atendimento é razoável e o preço é muito bom.
1	Ambiente super agradável e de ótimo atendimento.
1	A carne é ótima e o lugar super agradável!
1	As melhores burekas (folhados redondos recheados - em formato de donut) .
1	A de ricota e de espinafre são imbativeis.
1	Lanche gostoso, as batatas chips que vêm de acompanhamento e a maionese temperada da casa são boas, atendimento e ambiente agradáveis, preço em conta e ainda tem delivery.
1	As esfirras são a melhor propaganda do restaurante de comida tipica árabe, sabores variados (adoro a folheada de carne e a de azeitona), mas os outros pratos também são muito bons.
1	Não deixem de experimentar os charutinhos de folha de uva, o tempero é leve e saboroso.
1	Boa variedade de carnes, e variado buffet de saladas e outros acompanhamentos.
1	Bom atendimento.
1	Preço razoável.
1	Que desfrutar de um lanche leve e rápido vale a pena no flash lanches.
1	Tudo muito cuidado e ambiência limpa.
1	Restaurante muito bem localizado perto de varios hotéis , almoçamos depois das 16:00 sendo que a maioria dos restaurantes daquela região já estavam fechados, comida deliciosa feita com produtos saudáveis !
-1	Um lindo lugar, cardápio muito direcionado à camarão, preços elevados, mais condizentes com bom ambiente que as porções poucp generosas.
1	A casa costuma lotar no fim da tarde e serve um variado menu, de cerca de 30 itens, como pratos individuais e coletivos, para crianças, panelinhas, espetinhos e espetões, saladas, sanduíches, caldos e sobremesas.
1	O restaurante oferece um cardápio com massas, strogonoff, saladas, picadinho servidos em porções generosas, contam com um delicioso café e o ambiente é agradável, aconchegante e leve.
1	Infelizmente no dia que fui pedi duas opções de sobremesa que não tinham disponíveis, mas de modo geral a expriência foi muito agradável.
1	Batatas fritas muito especiais, burger extremamente saboroso (quem não come mal passado deve evitar).
1	Guarde espaço para a sobremesa, vale a pena!
1	Um boa opção para quem trabalha na região.
1	O Restaurante Verde e Grill oferece carnes de qualidade acompanhadas de um buffet bastante interessante, com pasteis, quiche, várias opções de saladas e legumes.
1	Um lugar super agradável!
1	Um cardápio variado com opções  de massas, pizzas, pratos ornamentados, tudo muito sofisticado e caprichado.
1	As pizzas são super saborosas.
1	Comida Excelente, sem palavras!
1	Cardápio variado e muito bom gosto, o buffet e sem igual, vale a pena expetiencia!!
1	Comida boa de qualidade, variedade comida típica mineira!
1	Bom ambiente!
1	Bom atendimento!
1	Restaurante bonito, que pela estilo parace ser caro, porem a moqueca estava mais barata do que na barraca na praia .
1	Após dois anos,  retornamos , a casquinha de Siri continua maravilhosa , chopp muito bem tirado,  cremoso.
1	Ambiente super aconchegante.
1	Excelente serviço de garçom.
1	A casa é bem decorada, estava um pouco quente, ar desligado.
1	Os PFs são bons e a bons preços.
1	Boa opção de almoço na região , pois contam com sistema de buffet livre no horário de almoço, disponível ótimos pratos e saboroso, o único ponto negativo é que o salao de mesas não é tao grande o que gera um certa espera na chegada.
1	lamens muito bons, bem tradicionais, apesar da grande espera por estar sempre lotado, vale a pena ter paciencia
1	Gosto bastante do açaí do Açaí Aju.
-1	Os molhos não são tão caprichados assim é o preço é bem caro.
1	Achei o restaurante bem bacana com decoração sofisticada e cardapio muito bom.
1	Ambiente tranquilo com musica boa.
1	Já fui nas duas lojas deles e o burguer é muito bom e podes escolher o ponto do hamburguer o ambiente também é bem legal.
1	Sabia que o Nino era um bom restaurante, mas me surpreendi positivamente.
1	Ambiente agradável, atendimento muito bom, com garçons simpáticos, que conhecem bastante dos pratos.
1	Carta de vinhos boa, com opcoes justas.
-1	Hoje comi um com o hot dog nesse restaurante e foi muito decepcionante.
-1	O preço cobrado  30 reais (Jan 20) é altíssimo se considerado a qualidade entregue.
1	Conheci o Folques Doces em março um ótimo ambiente com doces magníficos um lugar para saborear ótimos doces
1	O  Restaurante San Marino tem um ambiente agradável, o atendimento é muito bom, funcionários educados, a comida é muito saborosa.
1	Comida espetacular, atendimento impecável, Petit Gateau perfeito, ambiente super agradável, sem duvida um dos melhores restaurantes que já fui.
1	Um restaurante novo, bem montado, gostoso de se frequentar, parecido com outro de nome "Coco Bambu", com preços mais atraentes.
1	Os pratos são fartos e bem feitos.
1	O garçon que nos atendeu foi bastante solícito e explicou cada prato perguntado, com detalhes.
1	Um dos problemas é que os pratos fartos, são exagerados para duas pessoas.
1	No geral, um bom restaurante!
